relation,start_node,end_node
HAS_CONCEPT,探究向心力与半径的关系,向心力
HAS_CONCEPT,探究向心力与半径的关系,半径
HAS_CONCEPT,探究向心力与半径的关系,角速度
HAS_CONCEPT,探究向心力与半径的关系,质量
HAS_CONCEPT,探究向心力与角速度的关系,向心力
HAS_CONCEPT,探究向心力与角速度的关系,角速度
HAS_CONCEPT,探究向心力与角速度的关系,半径
HAS_CONCEPT,探究向心力与角速度的关系,质量
HAS_CONCEPT,探究向心力与质量的关系,向心力
HAS_CONCEPT,探究向心力与质量的关系,质量
HAS_CONCEPT,探究向心力与质量的关系,角速度
HAS_CONCEPT,探究向心力与质量的关系,半径
USES_EQUIPMENT,探究向心力与半径的关系,向心力演示器
USES_EQUIPMENT,探究向心力与半径的关系,力传感器
USES_EQUIPMENT,探究向心力与半径的关系,光电传感器
USES_EQUIPMENT,探究向心力与半径的关系,DISLab数据采集器
USES_EQUIPMENT,探究向心力与半径的关系,刻度尺
BASED_ON,探究向心力与半径的关系,向心力公式原理
BASED_ON,探究向心力与角速度的关系,向心力公式原理
BASED_ON,探究向心力与质量的关系,向心力公式原理
HAS_STEP,探究向心力与半径的关系,1
HAS_STEP,探究向心力与半径的关系,2
HAS_STEP,探究向心力与半径的关系,3
HAS_STEP,探究向心力与半径的关系,4
HAS_STEP,探究向心力与半径的关系,5
HAS_STEP,探究向心力与半径的关系,6
HAS_STEP,探究向心力与半径的关系,7
HAS_STEP,探究向心力与半径的关系,8
HAS_STEP,探究向心力与半径的关系,9
HAS_STEP,探究向心力与半径的关系,10
HAS_STEP,探究向心力与半径的关系,11
HAS_STEP,探究向心力与角速度的关系,1
HAS_STEP,探究向心力与角速度的关系,2
HAS_STEP,探究向心力与角速度的关系,3
HAS_STEP,探究向心力与角速度的关系,4
HAS_STEP,探究向心力与角速度的关系,5
HAS_STEP,探究向心力与角速度的关系,6
HAS_STEP,探究向心力与角速度的关系,7
HAS_STEP,探究向心力与角速度的关系,8
HAS_STEP,探究向心力与角速度的关系,9
HAS_STEP,探究向心力与角速度的关系,10
HAS_STEP,探究向心力与质量的关系,1
HAS_STEP,探究向心力与质量的关系,2
HAS_STEP,探究向心力与质量的关系,3
HAS_STEP,探究向心力与质量的关系,4
HAS_STEP,探究向心力与质量的关系,5
HAS_STEP,探究向心力与质量的关系,6
HAS_STEP,探究向心力与质量的关系,7
HAS_STEP,探究向心力与质量的关系,8
HAS_STEP,探究向心力与质量的关系,9
HAS_STEP,探究向心力与质量的关系,10
CONTROL_VARIABLE,探究向心力与半径的关系,质量
CONTROL_VARIABLE,探究向心力与半径的关系,角速度
VARY_VARIABLE,探究向心力与半径的关系,半径
CONTROL_VARIABLE,探究向心力与角速度的关系,质量
CONTROL_VARIABLE,探究向心力与角速度的关系,半径
VARY_VARIABLE,探究向心力与角速度的关系,角速度
CONTROL_VARIABLE,探究向心力与质量的关系,半径
CONTROL_VARIABLE,探究向心力与质量的关系,角速度
VARY_VARIABLE,探究向心力与质量的关系,质量
EXPLAINS,向心力基础知识讲义,向心力
EXPLAINS,向心力基础知识讲义,角速度
EXPLAINS,向心力基础知识讲义,半径
EXPLAINS,向心力基础知识讲义,质量
COVERS,老鹰盘旋综合应用题解析,向心力应用
COVERS,老鹰盘旋综合应用题解析,受力分析
COVERS,F-ω²数据记录表格模板,向心力公式
COVERS,F-ω²数据记录表格模板,数据处理
REQUIRES_SKILL,传感器调零,DIS系统操作
REQUIRES_SKILL,调节转速,控制变量法应用
REQUIRES_SKILL,改变转动半径,测量技能
REQUIRES_SKILL,记录数据,数据采集技能
INDICATES_MISCONCEPTION,未进行仪器调零,未进行仪器调零
INDICATES_MISCONCEPTION,读数时机不当,读数时机不当
INDICATES_MISCONCEPTION,未正确安装传感器,未正确安装传感器
INDICATES_MISCONCEPTION,未正确记录参数,未正确记录参数
INDICATES_MISCONCEPTION,未正确使用软件功能,未正确使用软件功能
INDICATES_MISCONCEPTION,向心力的来源错误理解,向心力的来源错误理解
INDICATES_MISCONCEPTION,向心力的性质错误理解,向心力的性质错误理解
INDICATES_MISCONCEPTION,未保持安全距离,未保持安全距离
INDICATES_MISCONCEPTION,未及时停止装置,未及时停止装置
INDICATES_MISCONCEPTION,未设计合理的实验步骤,未设计合理的实验步骤
TRIGGERS,传感器调零,未进行仪器调零
TRIGGERS,调节转速,未正确保持其他变量恒定
TRIGGERS,改变转动半径,未正确保持其他变量恒定
TRIGGERS,记录数据,读数时机不当
