number,description,expected_outcome,safety_tip
1,组装实验装置，将力传感器和光电传感器安装在向心力实验器上。,确保传感器连接牢固，无松动。,检查所有部件是否牢固，避免实验中脱落。
2,对力传感器进行"调零"(旋臂静止时点击"调零"按钮)。,传感器读数归零。,确保旋臂静止时再进行调零。
3,放置砝码：在固定砝码座和滑动砝码座中各放入一个质量相同的砝码。,砝码固定在砝码座上，无晃动。,注意砝码重量，避免超载。
4,调节砝码座位置，使旋转半径为某一值(如r=10cm)，并拧紧固定旋钮。,用刻度尺确认半径值。,使用刻度尺测量时，确保视线垂直。
5,启动电机，控制角速度(ω)恒定(观察软件实时显示值)。,角速度值稳定在设定值。,启动电机后，保持安全距离。
6,在计算机软件界面，输入已设置好的总质量m和当前的半径值r1。,软件正确显示输入的参数。,确保输入的参数与实际一致。
7,当数值稳定时，点击【开始记录】按钮。,软件自动记录向心力F值。,等待数值稳定后再记录，避免波动。
8,松开滑动砝码座的固定旋钮，移动至新位置，用刻度尺确认后拧紧。,新半径值与刻度尺测量一致。,移动砝码座时，确保装置稳定。
9,重复步骤5-7，采集不同半径下的数据。,记录多组F-r数据。,保持角速度恒定，避免影响结果。
10,完成数据采集后，点击【停止记录】按钮。,停止数据采集，保存数据。,实验结束后及时停止电机。
11,在软件中点击【显示F-r图像】，使用线性拟合功能。,F-r图像为过原点的直线。,注意观察图像拟合效果。
12,在探究向心力与角速度关系实验中，调节调速旋钮，使角速度逐步增加。,角速度值稳定在设定值。,逐步调节，避免突变。
13,在软件中选择"向心力与角速度关系研究"模式，输入半径r和角速度ω。,软件正确显示输入的参数。,确保输入的参数与实际一致。
14,在软件中点击【显示F-ω图像】，再点击【显示为F-ω²图像】。,F-ω²图像为过原点的直线。,注意F-ω图像可能不是直线。
15,在探究向心力与质量关系实验中，改变砝码组合以改变总质量m。,质量值与砝码组合一致。,确保每次改变质量后，更新软件参数。
16,保持半径r和角速度ω不变，重复步骤13-14。,记录多组F-m数据。,保持半径和角速度恒定，避免干扰。
17,完成数据采集后，在软件中点击【显示F-m图像】，使用线性拟合功能。,F-m图像为过原点的直线。,注意观察图像拟合效果。
