name,description,correct_concept,frequency,trigger_operation
未正确保持其他变量恒定,在探究向心力与半径关系时，未保持角速度和质量不变。,控制变量法,高频,改变半径
未正确理解F-ω关系,直接用F-ω图像判断正比关系，而没有意识到F与ω²成正比。,向心力公式,高频,数据处理
未进行仪器调零,未对力传感器进行"调零"，导致测量数据偏移。,力传感器使用,中频,实验准备
读数时机不当,在数据未稳定时就记录数据，导致测量值波动大。,数据采集,高频,数据记录
未正确安装传感器,力传感器或光电传感器未正确安装，导致数据不准。,传感器安装,中频,实验准备
未正确记录参数,在软件中输入错误的参数，导致数据不匹配。,数据记录,中频,参数设置
未正确使用软件功能,未正确使用软件的线性拟合功能，或错误地使用F-ω图像判断关系。,DIS系统操作,中频,数据处理
向心力的来源错误理解,在受力分析时，错误地将向心力作为独立的力加入受力分析。,向心力本质,高频,受力分析
向心力的性质错误理解,认为向心力是恒力，或认为向心力是根据力的性质命名的。,向心力本质,中频,实验解释
未保持安全距离,在装置运行时靠近旋转部件，存在安全隐患。,安全规范,高频,实验操作
未及时停止装置,实验结束后未及时停止转动，导致装置持续运转。,安全规范,中频,实验结束
未设计合理的实验步骤,实验步骤设计不合理，导致数据不准确。,实验设计,中频,实验规划
